Time;NCLK12;CKE;CKQ;ADDR;RWb;CRAMCS;DTAC2;AS
-2,312e-05;1;1;1;hA02F;1;1;1;0
-2,311e-05;0;1;1;hA02F;1;1;1;0
-2,31e-05;0;1;1;hA02F;1;1;1;0
-2,309e-05;0;1;1;hA02F;1;1;1;0
-2,308e-05;0;1;0;hA02F;1;1;1;0
-2,307e-05;1;1;0;hA02F;1;1;1;0
-2,306e-05;1;1;0;hA02F;1;1;0;0
-2,305e-05;1;1;0;hA02F;1;1;0;0
-2,304e-05;1;1;0;hA02F;1;1;0;0
-2,303e-05;0;1;0;hA02F;1;1;0;0
-2,302e-05;0;1;0;hA02F;1;1;0;0
-2,301e-05;0;1;0;hA02F;1;1;0;0
-2,3e-05;0;0;0;hA02F;1;1;0;0
-2,299e-05;1;0;0;hA02F;1;1;0;0
-2,298e-05;1;0;0;hA02F;1;1;0;0
-2,297e-05;1;0;0;hA02F;1;1;0;0
-2,296e-05;1;0;0;hA02F;1;1;0;0
-2,295e-05;0;0;0;hA02F;1;1;0;0
-2,294e-05;0;0;0;hA02F;1;1;0;0
-2,293e-05;0;0;0;hA02F;1;1;0;0
-2,292e-05;0;0;0;hA02F;1;1;0;0
-2,291e-05;1;0;1;hA02F;1;1;0;0
-2,29e-05;1;0;1;hA02F;1;1;0;0
-2,289e-05;1;0;1;hA02F;1;1;0;0
-2,288e-05;1;0;1;hA02F;1;1;0;0
-2,287e-05;0;0;1;hA02F;1;1;0;1
-2,286e-05;0;0;1;hA02F;1;1;1;1
-2,285e-05;0;0;1;hA02F;1;1;1;1
-2,284e-05;0;0;1;hA020;1;1;1;1
-2,283e-05;1;1;1;hA030;1;1;1;1
-2,282e-05;1;1;1;hA030;1;1;1;1
-2,281e-05;1;1;1;hA030;1;1;1;1
-2,28e-05;1;1;1;hA030;1;1;1;1
-2,279e-05;0;1;1;hA030;1;1;1;0
-2,278e-05;0;1;1;hA030;1;1;1;0
-2,277e-05;0;1;1;hA030;1;1;1;0
-2,276e-05;0;1;1;hA030;1;1;1;0
-2,275e-05;0;1;0;hA030;1;1;1;0
-2,274e-05;1;1;0;hA030;1;1;1;0
-2,273e-05;1;1;0;hA030;1;1;1;0
-2,272e-05;1;1;0;hA030;1;1;1;0
-2,271e-05;0;1;0;hA030;1;1;1;0
-2,27e-05;0;1;0;hA030;1;1;1;0
-2,269e-05;0;1;0;hA030;1;1;1;0
-2,268e-05;0;1;0;hA030;1;1;1;0
-2,267e-05;0;0;0;hA030;1;1;1;0
-2,266e-05;1;0;0;hA030;1;1;0;0
-2,265e-05;1;0;0;hA030;1;1;0;0
-2,264e-05;1;0;0;hA030;1;1;0;0
-2,263e-05;1;0;0;hA030;1;1;0;0
-2,262e-05;0;0;0;hA030;1;1;0;0
-2,261e-05;0;0;0;hA030;1;1;0;0
-2,26e-05;0;0;0;hA030;1;1;0;0
-2,259e-05;0;0;1;hA030;1;1;0;0
-2,258e-05;1;0;1;hA030;1;1;0;0
-2,257e-05;1;0;1;hA030;1;1;0;0
-2,256e-05;1;0;1;hA030;1;1;0;0
-2,255e-05;1;0;1;hA030;1;1;0;0
-2,254e-05;0;0;1;hA030;1;1;0;0
-2,253e-05;0;0;1;hA030;1;1;0;0
-2,252e-05;0;0;1;hA030;1;1;0;0
-2,251e-05;0;0;1;hA030;1;1;0;0
-2,25e-05;1;1;1;hA030;1;1;0;0
-2,249e-05;1;1;1;hA030;1;1;0;0
-2,248e-05;1;1;1;hA030;1;1;0;0
-2,247e-05;1;1;1;hA030;1;1;0;0
